8 , Generation , 59 , Euclid , 5.602924667520229
8 , Generation , 60 , Euclid , 0
8 , Generation , 61 , Euclid , 8.534528264591009
8 , Generation , 62 , Euclid , 4.645625123000982
8 , Generation , 63 , Euclid , 12.30965866621285
8 , Generation , 64 , Euclid , 8.594431589766014
8 , Generation , 65 , Euclid , 17.306276479365906
8 , Generation , 65 , Euclid , 34.61255295873181
7 , Generation , 53 , Euclid , 78.14487932707338
5 , Generation , 41 , Euclid , 96.033020414554
6 , Generation , 47 , Euclid , 108.51284811469391
4 , Generation , 28 , Euclid , 1655.5583550370493
2 , Generation , 12 , Euclid , 3622.049803826945
1 , Generation , 7 , Euclid , 4741.011378976087
3 , Generation , 18 , Euclid , 5184.955930997961
9 , Generation , 66 , Euclid , 4.686240079301046
9 , Generation , 67 , Euclid , 0
9 , Generation , 68 , Euclid , 14.572927843979935
9 , Generation , 69 , Euclid , 0
9 , Generation , 70 , Euclid , 16.366156539414284
9 , Generation , 71 , Euclid , 4.815683849198065
9 , Generation , 72 , Euclid , 13.423991173907595
9 , Generation , 73 , Euclid , 6.517644471156608
9 , Generation , 70 , Euclid , 32.73231307882859
8 , Generation , 65 , Euclid , 51.91882943809771
7 , Generation , 53 , Euclid , 104.19317243609785
5 , Generation , 41 , Euclid , 115.23962449746483
6 , Generation , 47 , Euclid , 135.64106014336738
4 , Generation , 28 , Euclid , 1931.4847475432248
2 , Generation , 12 , Euclid , 4074.806029305312
1 , Generation , 7 , Euclid , 5267.7904210845345
3 , Generation , 18 , Euclid , 5925.663921140529
10 , Generation , 74 , Euclid , 14.444277741689142
10 , Generation , 75 , Euclid , 8.62145008010085
10 , Generation , 76 , Euclid , 0
10 , Generation , 77 , Euclid , 15.862661800251857
10 , Generation , 78 , Euclid , 0
10 , Generation , 79 , Euclid , 0
10 , Generation , 80 , Euclid , 0
10 , Generation , 81 , Euclid , 9.206472075265719
10 , Generation , 77 , Euclid , 31.72532360050371
9 , Generation , 70 , Euclid , 49.09846961824288
8 , Generation , 65 , Euclid , 69.22510591746364
7 , Generation , 53 , Euclid , 130.2414655451223
5 , Generation , 41 , Euclid , 134.44622858037565
6 , Generation , 47 , Euclid , 162.76927217204081
4 , Generation , 28 , Euclid , 2207.4111400494007
2 , Generation , 12 , Euclid , 4527.562254783674
1 , Generation , 7 , Euclid , 5794.569463192982
3 , Generation , 18 , Euclid , 6666.371911283097
11 , Generation , 82 , Euclid , 6.813352900149004
11 , Generation , 83 , Euclid , 6.903373224831435
11 , Generation , 84 , Euclid , 4.438574594222131
11 , Generation , 85 , Euclid , 4.75374087749962
11 , Generation , 86 , Euclid , 5.584363475116631
11 , Generation , 87 , Euclid , 13.742718097676851
