56, Generation,,,,,,
944, |Individual Number|,,,,,,
5, |Number of points|,,,,,,
0.111445616281576,0.439933263270442,1.17365696739514,0.021100286428819,0.021100286428819,0.343648418288241,0.343648418288241, 0.343648418288241]|
0.720095351350003,0.558932529691193,1.29882462558589,0.021100286428819,0.021100286428819,0.343648418288241,0.343648418288241, 0.343648418288241]|
-0.832332308391339,0.588048659287715,0.183744321471977,0.021100286428819,0.021100286428819,0.343648418288241,0.343648418288241, 0.343648418288241]|
0.375449595124113,-0.644760710280438,1.64208709705344,0.021100286428819,0.021100286428819,0.343648418288241,0.343648418288241, 0.343648418288241]|
-1.11498943378969,-0.316890036240729,0.935057633811822,0.021100286428819,0.021100286428819,0.343648418288241,0.343648418288241, 0.343648418288241]|
829.144703447194, Euclidean,,,,,,
True , |Sim Sucess|,,,,,,
True , |Real Sucess|,,,,,,
True , |Sim Sucess|,,,,,,
True , |Real Sucess|,,,,,,
57, |Parent of Generation|,,,,,,
5.0657167095056, |Acc Euclidean Generation|,,,,,,
56, Generation,,,,,,
944, |Individual Number|,,,,,,
5, |Number of points|,,,,,,
0.111445616281576,0.439933263270442,1.17365696739514, |[0.021100286428819,0.021100286428819,0.343648418288241,0.343648418288241, 0.343648418288241]|
0.720095351350003,0.558932529691193,1.29882462558589, |[0.021100286428819,0.021100286428819,0.343648418288241,0.343648418288241, 0.343648418288241]|
-0.832332308391339,0.588048659287715,0.183744321471977, |[0.021100286428819,0.021100286428819,0.343648418288241,0.343648418288241, 0.343648418288241]|
0.375449595124113,-0.644760710280438,1.64208709705344, |[0.021100286428819,0.021100286428819,0.343648418288241,0.343648418288241, 0.343648418288241]|
-1.11498943378969,-0.316890036240729,0.935057633811822, |[0.021100286428819,0.021100286428819,0.343648418288241,0.343648418288241, 0.343648418288241]|
829.144703447194, Euclidean,,,,,,
True , |Sim Sucess|,,,,,,
True , |Real Sucess|,,,,,,
True , |Sim Sucess|,,,,,,
True , |Real Sucess|,,,,,,
58, |Parent of Generation|,,,,,,
10.1314334190112, |Acc Euclidean Generation|,,,,,,
56, Generation,,,,,,
944, |Individual Number|,,,,,,
5, |Number of points|,,,,,,
0.111445616281576,0.439933263270442,1.17365696739514, |[0.021100286428819,0.021100286428819,0.343648418288241,0.343648418288241, 0.343648418288241]|
0.720095351350003,0.558932529691193,1.29882462558589, |[0.021100286428819,0.021100286428819,0.343648418288241,0.343648418288241, 0.343648418288241]|
-0.832332308391339,0.588048659287715,0.183744321471977, |[0.021100286428819,0.021100286428819,0.343648418288241,0.343648418288241, 0.343648418288241]|
0.375449595124113,-0.644760710280438,1.64208709705344, |[0.021100286428819,0.021100286428819,0.343648418288241,0.343648418288241, 0.343648418288241]|
-1.11498943378969,-0.316890036240729,0.935057633811822, |[0.021100286428819,0.021100286428819,0.343648418288241,0.343648418288241, 0.343648418288241]|
829.144703447194, Euclidean,,,,,,
True , |Sim Sucess|,,,,,,
True , |Real Sucess|,,,,,,
True , |Sim Sucess|,,,,,,
True , |Real Sucess|,,,,,,
59, |Parent of Generation|,,,,,,
15.1971501285168, |Acc Euclidean Generation|,,,,,,
56, Generation,,,,,,
944, |Individual Number|,,,,,,
5, |Number of points|,,,,,,
0.293183241853496,0.588723031186914,1.1752721728249, |[0.021100286428819,0.021100286428819,0.343648418288241,0.343648418288241, 0.343648418288241]|
0.709486044539627,0.555924706803693,1.27607918960573, |[0.021100286428819,0.021100286428819,0.343648418288241,0.343648418288241, 0.343648418288241]|
-0.964997143850998,0.642552487872636,0.118956037703982, |[0.021100286428819,0.021100286428819,0.343648418288241,0.343648418288241, 0.343648418288241]|
0.375449595124113,-0.644760710280438,1.64208709705344, |[0.021100286428819,0.021100286428819,0.343648418288241,0.343648418288241, 0.343648418288241]|
-1.1579282405248,-0.353346433096814,0.842173608590599, |[0.021100286428819,0.021100286428819,0.343648418288241,0.343648418288241, 0.343648418288241]|
829.144703447194, Euclidean,,,,,,
True , |Sim Sucess|,,,,,,
True , |Real Sucess|,,,,,,
True , |Sim Sucess|,,,,,,
True , |Real Sucess|,,,,,,
60, |Parent of Generation|,,,,,,
20.7115993795009, |Acc Euclidean Generation|,,,,,,
56, Generation,,,,,,
944, |Individual Number|,,,,,,
5, |Number of points|,,,,,,
0.293183241853496,0.588723031186914,1.1752721728249, |[0.021100286428819,0.021100286428819,0.343648418288241,0.343648418288241, 0.343648418288241]|
0.760252550160476,0.349636932816791,1.5243106315883, |[0.021100286428819,0.021100286428819,0.343648418288241,0.343648418288241, 0.343648418288241]|
-0.94917528734722,0.596463586533235,0.016633372902778, |[0.021100286428819,0.021100286428819,0.343648418288241,0.343648418288241, 0.343648418288241]|
0.450973466901282,-0.674472425541775,1.61873492441379, |[0.021100286428819,0.021100286428819,0.343648418288241,0.343648418288241, 0.343648418288241]|
-0.98617808312479,-0.28984039330674,0.83866294961098, |[0.021100286428819,0.021100286428819,0.343648418288241,0.343648418288241, 0.343648418288241]|
829.144703447194, Euclidean,,,,,,
True , |Sim Sucess|,,,,,,
True , |Real Sucess|,,,,,,
True , |Sim Sucess|,,,,,,
True , |Real Sucess|,,,,,,
61, |Parent of Generation|,,,,,,
25.89408313871, |Acc Euclidean Generation|,,,,,,
56, Generation,,,,,,
944, |Individual Number|,,,,,,
5, |Number of points|,,,,,,
0.40661384744139,0.603317256500867,1.29037587537849, |[0.021100286428819,0.021100286428819,0.343648418288241,0.343648418288241, 0.343648418288241]|
