57, Generation,,,,,,,
960, |Individual Number|,,,,,,,
6, |Number of points|,,,,,,,
0.267809764738874,-0.041988649425739,0.506614937955237,0.198265960533861,0.198265960533861,0.01244951922851,0.01244951922851,0.01244951922851, 0.01244951922851]|
-0.153079414975963,-0.306009916643937,0.779071432615108,0.198265960533861,0.198265960533861,0.01244951922851,0.01244951922851,0.01244951922851, 0.01244951922851]|
0.133685208770095,-0.345145734180218,1.75517836072406,0.198265960533861,0.198265960533861,0.01244951922851,0.01244951922851,0.01244951922851, 0.01244951922851]|
-0.855548498574997,0.288837256261721,0.914029511975194,0.198265960533861,0.198265960533861,0.01244951922851,0.01244951922851,0.01244951922851, 0.01244951922851]|
0.125366209288236,-0.662340648442348,0.38023093025215,0.198265960533861,0.198265960533861,0.01244951922851,0.01244951922851,0.01244951922851, 0.01244951922851]|
-0.332113177650212,-0.3997662943161,1.65726283036497,0.198265960533861,0.198265960533861,0.01244951922851,0.01244951922851,0.01244951922851, 0.01244951922851]|
8.31246479625617, Euclidean,,,,,,,
True , |Sim Sucess|,,,,,,,
True , |Real Sucess|,,,,,,,
True , |Sim Sucess|,,,,,,,
True , |Real Sucess|,,,,,,,
58, |Parent of Generation|,,,,,,,
3.78822950431963, |Acc Euclidean Generation|,,,,,,,
57, Generation,,,,,,,
960, |Individual Number|,,,,,,,
6, |Number of points|,,,,,,,
0.280672341312373,-0.127684271311592,0.653268033415335, |[0.198265960533861,0.198265960533861,0.01244951922851,0.01244951922851,0.01244951922851, 0.01244951922851]|
-0.187810803173012,-0.16255402996587,0.830070462744719, |[0.198265960533861,0.198265960533861,0.01244951922851,0.01244951922851,0.01244951922851, 0.01244951922851]|
0.133685208770095,-0.345145734180218,1.75517836072406, |[0.198265960533861,0.198265960533861,0.01244951922851,0.01244951922851,0.01244951922851, 0.01244951922851]|
-0.855548498574997,0.288837256261721,0.914029511975194, |[0.198265960533861,0.198265960533861,0.01244951922851,0.01244951922851,0.01244951922851, 0.01244951922851]|
0.334190632848814,-0.393521353317029,0.451625143888018, |[0.198265960533861,0.198265960533861,0.01244951922851,0.01244951922851,0.01244951922851, 0.01244951922851]|
-0.357083567213882,-0.343408301013227,1.82460250864412, |[0.198265960533861,0.198265960533861,0.01244951922851,0.01244951922851,0.01244951922851, 0.01244951922851]|
8.31246479625617, Euclidean,,,,,,,
True , |Sim Sucess|,,,,,,,
True , |Real Sucess|,,,,,,,
True , |Sim Sucess|,,,,,,,
True , |Real Sucess|,,,,,,,
59, |Parent of Generation|,,,,,,,
7.12492163715965, |Acc Euclidean Generation|,,,,,,,
57, Generation,,,,,,,
960, |Individual Number|,,,,,,,
6, |Number of points|,,,,,,,
0.280672341312373,-0.127684271311592,0.653268033415335, |[0.198265960533861,0.198265960533861,0.01244951922851,0.01244951922851,0.01244951922851, 0.01244951922851]|
-0.187810803173012,-0.16255402996587,0.830070462744719, |[0.198265960533861,0.198265960533861,0.01244951922851,0.01244951922851,0.01244951922851, 0.01244951922851]|
0.287525535170175,-0.41402985664475,1.83485234702175, |[0.198265960533861,0.198265960533861,0.01244951922851,0.01244951922851,0.01244951922851, 0.01244951922851]|
-0.936182870884127,0.16058638097668,1.05907432093107, |[0.198265960533861,0.198265960533861,0.01244951922851,0.01244951922851,0.01244951922851, 0.01244951922851]|
0.147741842788793,-0.36664944854613,0.456359581679675, |[0.198265960533861,0.198265960533861,0.01244951922851,0.01244951922851,0.01244951922851, 0.01244951922851]|
-0.357083567213882,-0.343408301013227,1.82460250864412, |[0.198265960533861,0.198265960533861,0.01244951922851,0.01244951922851,0.01244951922851, 0.01244951922851]|
8.31246479625617, Euclidean,,,,,,,
True , |Sim Sucess|,,,,,,,
True , |Real Sucess|,,,,,,,
True , |Sim Sucess|,,,,,,,
True , |Real Sucess|,,,,,,,
60, |Parent of Generation|,,,,,,,
10.513119846241, |Acc Euclidean Generation|,,,,,,,
57, Generation,,,,,,,
960, |Individual Number|,,,,,,,
6, |Number of points|,,,,,,,
0.280672341312373,-0.127684271311592,0.653268033415335, |[0.198265960533861,0.198265960533861,0.01244951922851,0.01244951922851,0.01244951922851, 0.01244951922851]|
-0.187810803173012,-0.16255402996587,0.830070462744719, |[0.198265960533861,0.198265960533861,0.01244951922851,0.01244951922851,0.01244951922851, 0.01244951922851]|
0.287525535170175,-0.41402985664475,1.83485234702175, |[0.198265960533861,0.198265960533861,0.01244951922851,0.01244951922851,0.01244951922851, 0.01244951922851]|
-0.936182870884127,0.16058638097668,1.05907432093107, |[0.198265960533861,0.198265960533861,0.01244951922851,0.01244951922851,0.01244951922851, 0.01244951922851]|
0.147741842788793,-0.36664944854613,0.456359581679675, |[0.198265960533861,0.198265960533861,0.01244951922851,0.01244951922851,0.01244951922851, 0.01244951922851]|
-0.357083567213882,-0.343408301013227,1.82460250864412, |[0.198265960533861,0.198265960533861,0.01244951922851,0.01244951922851,0.01244951922851, 0.01244951922851]|
8.31246479625617, Euclidean,,,,,,,
True , |Sim Sucess|,,,,,,,
True , |Real Sucess|,,,,,,,
True , |Sim Sucess|,,,,,,,
True , |Real Sucess|,,,,,,,
61, |Parent of Generation|,,,,,,,
13.9013180553223, |Acc Euclidean Generation|,,,,,,,
57, Generation,,,,,,,
960, |Individual Number|,,,,,,,
6, |Number of points|,,,,,,,
0.12487229472077,-0.291747902927202,0.526072868513574, |[0.198265960533861,0.198265960533861,0.01244951922851,0.01244951922851,0.01244951922851, 0.01244951922851]|
