True , |Sim Sucess|
-0.63525523637963 , -0.16513379731163513 , 0.55750190890779 , 0.10211147270665465
True , |Sim Sucess|
False , |Real Sucess|
16 , |Parent of Generation|
30.78471707742631 , |Acc Euclidean Generation|
12 , Generation
349 , |Individual Number|
7 , |Number of points|
-0.7227557433625 , -0.2905714423154418 , 0.94310298464166 , 0.10211147270665465
-0.21617057966501557 , -0.22114024381838554 , 0.4133432916034754 , 0.10211147270665465
0.2099856263849612 , 0.5910410419554911 , 1.7135504280237197 , 0.10211147270665465
-0.7098279405373334 , -0.05057278853072306 , 0.3696398087328968 , 0.10211147270665465
True , |Sim Sucess|
False , |Real Sucess|
17 , |Parent of Generation|
33.57155687281623 , |Acc Euclidean Generation|
12 , Generation
349 , |Individual Number|
7 , |Number of points|
-0.7227557433625 , -0.2905714423154418 , 0.94310298464166 , 0.10211147270665465
-0.21617057966501557 , -0.22114024381838554 , 0.4133432916034754 , 0.10211147270665465
0.2099856263849612 , 0.5910410419554911 , 1.7135504280237197 , 0.10211147270665465
-0.7098279405373334 , -0.05057278853072306 , 0.3696398087328968 , 0.10211147270665465
True , |Sim Sucess|
False , |Real Sucess|
18 , |Parent of Generation|
36.35839666820615 , |Acc Euclidean Generation|
12 , Generation
349 , |Individual Number|
7 , |Number of points|
-0.7227557433625 , -0.2905714423154418 , 0.94310298464166 , 0.10211147270665465
-0.21617057966501557 , -0.22114024381838554 , 0.4133432916034754 , 0.10211147270665465
0.2099856263849612 , 0.5910410419554911 , 1.7135504280237197 , 0.10211147270665465
-0.7098279405373334 , -0.05057278853072306 , 0.3696398087328968 , 0.10211147270665465
True , |Sim Sucess|
False , |Real Sucess|
19 , |Parent of Generation|
39.14523646359606 , |Acc Euclidean Generation|
12 , Generation
349 , |Individual Number|
7 , |Number of points|
-0.7331004378479252 , -0.5060455530742646 , 0.9868001309969359 , 0.10211147270665465
-0.13481887157062744 , -0.22758567258046813 , 0.3308892827617567 , 0.10211147270665465
0.5703402928250106 , 0.6531744708621935 , 1.516520311919724 , 0.10211147270665465
-0.7098279405373334 , -0.05057278853072306 , 0.3696398087328968 , 0.10211147270665465
True , |Sim Sucess|
False , |Real Sucess|
20 , |Parent of Generation|
42.317725137130324 , |Acc Euclidean Generation|
12 , Generation
349 , |Individual Number|
7 , |Number of points|
-0.7331004378479252 , -0.5060455530742646 , 0.9868001309969359 , 0.10211147270665465
-0.13481887157062744 , -0.22758567258046813 , 0.3308892827617567 , 0.10211147270665465
0.5703402928250106 , 0.6531744708621935 , 1.516520311919724 , 0.10211147270665465
-0.7098279405373334 , -0.05057278853072306 , 0.3696398087328968 , 0.10211147270665465
True , |Sim Sucess|
False , |Real Sucess|
32 , |Parent of Generation|
9.46989535720312 , |Acc Euclidean Generation|
12 , Generation
349 , |Individual Number|
7 , |Number of points|
-0.6615719029800597 , -0.046924841293377095 , 1.2147387694661183 , 0.10211147270665465
-0.32767232014215164 , -0.5856913462390156 , 0.4403493471918745 , 0.10211147270665465
0.2804694705103231 , 0.5451951033806863 , 1.52387683686401 , 0.10211147270665465
-0.63525523637963 , -0.16513379731163513 , 0.55750190890779 , 0.10211147270665465
True , |Sim Sucess|
False , |Real Sucess|
33 , |Parent of Generation|
12.522810418812726 , |Acc Euclidean Generation|
12 , Generation
349 , |Individual Number|
7 , |Number of points|
-0.6615719029800597 , -0.046924841293377095 , 1.2147387694661183 , 0.10211147270665465
-0.32767232014215164 , -0.5856913462390156 , 0.4403493471918745 , 0.10211147270665465
0.2804694705103231 , 0.5451951033806863 , 1.52387683686401 , 0.10211147270665465
-0.63525523637963 , -0.16513379731163513 , 0.55750190890779 , 0.10211147270665465
True , |Sim Sucess|
False , |Real Sucess|
34 , |Parent of Generation|
15.575725480422333 , |Acc Euclidean Generation|
12 , Generation
349 , |Individual Number|
7 , |Number of points|
-0.6615719029800597 , -0.046924841293377095 , 1.2147387694661183 , 0.10211147270665465
-0.32767232014215164 , -0.5856913462390156 , 0.4403493471918745 , 0.10211147270665465
0.2804694705103231 , 0.5451951033806863 , 1.52387683686401 , 0.10211147270665465
-0.63525523637963 , -0.16513379731163513 , 0.55750190890779 , 0.10211147270665465
True , |Sim Sucess|
False , |Real Sucess|
35 , |Parent of Generation|
18.628640542031942 , |Acc Euclidean Generation|
12 , Generation
349 , |Individual Number|
7 , |Number of points|
-0.6615719029800597 , -0.046924841293377095 , 1.2147387694661183 , 0.10211147270665465
-0.32767232014215164 , -0.5856913462390156 , 0.4403493471918745 , 0.10211147270665465
0.2804694705103231 , 0.5451951033806863 , 1.52387683686401 , 0.10211147270665465
-0.7039186526968502 , -0.20605888739894274 , 0.6912914836662565 , 0.10211147270665465
True , |Sim Sucess|
False , |Real Sucess|
36 , |Parent of Generation|
9.46989535720312 , |Acc Euclidean Generation|
12 , Generation
349 , |Individual Number|
7 , |Number of points|
-0.6615719029800597 , -0.046924841293377095 , 1.2147387694661183 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
-0.32767232014215164 , -0.5856913462390156 , 0.4403493471918745 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
0.2804694705103231 , 0.5451951033806863 , 1.52387683686401 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
-0.63525523637963 , -0.16513379731163513 , 0.55750190890779 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
True , |Sim Sucess|
False , |Real Sucess|
37 , |Parent of Generation|
12.522810418812726 , |Acc Euclidean Generation|
12 , Generation
349 , |Individual Number|
7 , |Number of points|
-0.6615719029800597 , -0.046924841293377095 , 1.2147387694661183 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
-0.32767232014215164 , -0.5856913462390156 , 0.4403493471918745 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
0.2804694705103231 , 0.5451951033806863 , 1.52387683686401 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
-0.63525523637963 , -0.16513379731163513 , 0.55750190890779 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
True , |Sim Sucess|
False , |Real Sucess|
38 , |Parent of Generation|
15.575725480422333 , |Acc Euclidean Generation|
12 , Generation
349 , |Individual Number|
7 , |Number of points|
-0.6615719029800597 , -0.046924841293377095 , 1.2147387694661183 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
-0.32767232014215164 , -0.5856913462390156 , 0.4403493471918745 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
0.2804694705103231 , 0.5451951033806863 , 1.52387683686401 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
-0.63525523637963 , -0.16513379731163513 , 0.55750190890779 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
True , |Sim Sucess|
False , |Real Sucess|
39 , |Parent of Generation|
18.628640542031942 , |Acc Euclidean Generation|
12 , Generation
349 , |Individual Number|
7 , |Number of points|
-0.6615719029800597 , -0.046924841293377095 , 1.2147387694661183 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
-0.32767232014215164 , -0.5856913462390156 , 0.4403493471918745 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
0.2804694705103231 , 0.5451951033806863 , 1.52387683686401 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
-0.63525523637963 , -0.16513379731163513 , 0.55750190890779 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
True , |Sim Sucess|
False , |Real Sucess|
40 , |Parent of Generation|
21.681555603641552 , |Acc Euclidean Generation|
12 , Generation
349 , |Individual Number|
7 , |Number of points|
-0.6615719029800597 , -0.046924841293377095 , 1.2147387694661183 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
-0.32767232014215164 , -0.5856913462390156 , 0.4403493471918745 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
0.2804694705103231 , 0.5451951033806863 , 1.52387683686401 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
-0.63525523637963 , -0.16513379731163513 , 0.55750190890779 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
True , |Sim Sucess|
False , |Real Sucess|
41 , |Parent of Generation|
24.734470665251163 , |Acc Euclidean Generation|
12 , Generation
349 , |Individual Number|
7 , |Number of points|
-0.6615719029800597 , -0.046924841293377095 , 1.2147387694661183 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
-0.32767232014215164 , -0.5856913462390156 , 0.4403493471918745 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
0.2804694705103231 , 0.5451951033806863 , 1.52387683686401 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
-0.63525523637963 , -0.16513379731163513 , 0.55750190890779 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
True , |Sim Sucess|
False , |Real Sucess|
42 , |Parent of Generation|
27.787385726860773 , |Acc Euclidean Generation|
12 , Generation
349 , |Individual Number|
7 , |Number of points|
-0.6615719029800597 , -0.046924841293377095 , 1.2147387694661183 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
-0.3128717553815588 , -0.5967983555392412 , 0.41029075719042074 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
0.2804694705103231 , 0.5451951033806863 , 1.52387683686401 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
-0.6453321865204685 , -0.1390554319644271 , 0.6785701758045221 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
12 , Generation
349 , |Individual Number|
7 , |Number of points|
-0.6615719029800597 , -0.046924841293377095 , 1.2147387694661183 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
-0.32767232014215164 , -0.5856913462390156 , 0.4403493471918745 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
0.2804694705103231 , 0.5451951033806863 , 1.52387683686401 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
-0.63525523637963 , -0.16513379731163513 , 0.55750190890779 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
12 , Generation
349 , |Individual Number|
7 , |Number of points|
-0.6615719029800597 , -0.046924841293377095 , 1.2147387694661183 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
-0.32767232014215164 , -0.5856913462390156 , 0.4403493471918745 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
0.2804694705103231 , 0.5451951033806863 , 1.52387683686401 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
-0.63525523637963 , -0.16513379731163513 , 0.55750190890779 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
True , |Sim Sucess|
False , |Real Sucess|
43 , |Parent of Generation|
9.46989535720312 , |Acc Euclidean Generation|
12 , Generation
349 , |Individual Number|
7 , |Number of points|
-0.6615719029800597 , -0.046924841293377095 , 1.2147387694661183 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
-0.32767232014215164 , -0.5856913462390156 , 0.4403493471918745 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
0.2804694705103231 , 0.5451951033806863 , 1.52387683686401 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
-0.63525523637963 , -0.16513379731163513 , 0.55750190890779 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
True , |Sim Sucess|
False , |Real Sucess|
44 , |Parent of Generation|
12.522810418812726 , |Acc Euclidean Generation|
12 , Generation
349 , |Individual Number|
7 , |Number of points|
-0.6615719029800597 , -0.046924841293377095 , 1.2147387694661183 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
-0.49612716050555405 , -0.685312355247141 , 0.4316576345053493 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
0.2804694705103231 , 0.5451951033806863 , 1.52387683686401 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
-0.6331515157153367 , -0.28853200257114375 , 0.79096479767268 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
True , |Sim Sucess|
False , |Real Sucess|
45 , |Parent of Generation|
15.850183254626748 , |Acc Euclidean Generation|
12 , Generation
349 , |Individual Number|
7 , |Number of points|
-0.6615719029800597 , -0.046924841293377095 , 1.2147387694661183 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
-0.49612716050555405 , -0.685312355247141 , 0.4316576345053493 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
0.2804694705103231 , 0.5451951033806863 , 1.52387683686401 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
-0.6331515157153367 , -0.28853200257114375 , 0.79096479767268 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
True , |Sim Sucess|
False , |Real Sucess|
46 , |Parent of Generation|
19.177556090440767 , |Acc Euclidean Generation|
12 , Generation
349 , |Individual Number|
7 , |Number of points|
-0.6615719029800597 , -0.046924841293377095 , 1.2147387694661183 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
-0.49612716050555405 , -0.685312355247141 , 0.4316576345053493 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
0.2804694705103231 , 0.5451951033806863 , 1.52387683686401 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
-0.6096141864334613 , -0.1691800837781594 , 0.8234095283912654 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
True , |Sim Sucess|
False , |Real Sucess|
47 , |Parent of Generation|
22.40656526456776 , |Acc Euclidean Generation|
12 , Generation
349 , |Individual Number|
7 , |Number of points|
-0.6615719029800597 , -0.046924841293377095 , 1.2147387694661183 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
-0.49612716050555405 , -0.685312355247141 , 0.4316576345053493 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
0.2804694705103231 , 0.5451951033806863 , 1.52387683686401 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
-0.6096141864334613 , -0.1691800837781594 , 0.8234095283912654 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
True , |Sim Sucess|
False , |Real Sucess|
48 , |Parent of Generation|
25.635574438694753 , |Acc Euclidean Generation|
12 , Generation
349 , |Individual Number|
7 , |Number of points|
-0.6615719029800597 , -0.046924841293377095 , 1.2147387694661183 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
-0.49612716050555405 , -0.685312355247141 , 0.4316576345053493 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
0.2804694705103231 , 0.5451951033806863 , 1.52387683686401 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
-0.6096141864334613 , -0.1691800837781594 , 0.8234095283912654 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
True , |Sim Sucess|
False , |Real Sucess|
49 , |Parent of Generation|
28.864583612821747 , |Acc Euclidean Generation|
12 , Generation
349 , |Individual Number|
7 , |Number of points|
-0.6615719029800597 , -0.046924841293377095 , 1.2147387694661183 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
-0.49612716050555405 , -0.685312355247141 , 0.4316576345053493 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
0.2804694705103231 , 0.5451951033806863 , 1.52387683686401 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
-0.6096141864334613 , -0.1691800837781594 , 0.8234095283912654 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
True , |Sim Sucess|
False , |Real Sucess|
50 , |Parent of Generation|
32.09359278694874 , |Acc Euclidean Generation|
12 , Generation
349 , |Individual Number|
7 , |Number of points|
-0.6615719029800597 , -0.046924841293377095 , 1.2147387694661183 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
-0.49612716050555405 , -0.685312355247141 , 0.4316576345053493 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
0.2804694705103231 , 0.5451951033806863 , 1.52387683686401 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
-0.6096141864334613 , -0.1691800837781594 , 0.8234095283912654 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
True , |Sim Sucess|
False , |Real Sucess|
51 , |Parent of Generation|
35.32260196107573 , |Acc Euclidean Generation|
12 , Generation
349 , |Individual Number|
7 , |Number of points|
-0.6615719029800597 , -0.046924841293377095 , 1.2147387694661183 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
-0.49612716050555405 , -0.685312355247141 , 0.4316576345053493 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
0.2804694705103231 , 0.5451951033806863 , 1.52387683686401 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
-0.6096141864334613 , -0.1691800837781594 , 0.8234095283912654 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
12 , Generation
349 , |Individual Number|
7 , |Number of points|
-0.6615719029800597 , -0.046924841293377095 , 1.2147387694661183 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
-0.32767232014215164 , -0.5856913462390156 , 0.4403493471918745 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
0.2804694705103231 , 0.5451951033806863 , 1.52387683686401 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
-0.63525523637963 , -0.16513379731163513 , 0.55750190890779 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
12 , Generation
349 , |Individual Number|
7 , |Number of points|
-0.6615719029800597 , -0.046924841293377095 , 1.2147387694661183 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
-0.32767232014215164 , -0.5856913462390156 , 0.4403493471918745 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
0.2804694705103231 , 0.5451951033806863 , 1.52387683686401 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
-0.63525523637963 , -0.16513379731163513 , 0.55750190890779 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
True , |Sim Sucess|
False , |Real Sucess|
52 , |Parent of Generation|
9.46989535720312 , |Acc Euclidean Generation|
12 , Generation
349 , |Individual Number|
7 , |Number of points|
-0.6615719029800597 , -0.046924841293377095 , 1.2147387694661183 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
-0.32767232014215164 , -0.5856913462390156 , 0.4403493471918745 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
0.2804694705103231 , 0.5451951033806863 , 1.52387683686401 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
-0.63525523637963 , -0.16513379731163513 , 0.55750190890779 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
True , |Sim Sucess|
False , |Real Sucess|
53 , |Parent of Generation|
12.522810418812726 , |Acc Euclidean Generation|
12 , Generation
349 , |Individual Number|
7 , |Number of points|
-0.6615719029800597 , -0.046924841293377095 , 1.2147387694661183 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
-0.32767232014215164 , -0.5856913462390156 , 0.4403493471918745 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
0.2804694705103231 , 0.5451951033806863 , 1.52387683686401 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
-0.63525523637963 , -0.16513379731163513 , 0.55750190890779 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
True , |Sim Sucess|
False , |Real Sucess|
54 , |Parent of Generation|
15.575725480422333 , |Acc Euclidean Generation|
12 , Generation
349 , |Individual Number|
7 , |Number of points|
-0.6615719029800597 , -0.046924841293377095 , 1.2147387694661183 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
-0.32767232014215164 , -0.5856913462390156 , 0.4403493471918745 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
0.2804694705103231 , 0.5451951033806863 , 1.52387683686401 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
-0.63525523637963 , -0.16513379731163513 , 0.55750190890779 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
True , |Sim Sucess|
False , |Real Sucess|
55 , |Parent of Generation|
18.628640542031942 , |Acc Euclidean Generation|
12 , Generation
349 , |Individual Number|
7 , |Number of points|
-0.6615719029800597 , -0.046924841293377095 , 1.2147387694661183 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
-0.32767232014215164 , -0.5856913462390156 , 0.4403493471918745 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
0.2804694705103231 , 0.5451951033806863 , 1.52387683686401 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
-0.63525523637963 , -0.16513379731163513 , 0.55750190890779 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
True , |Sim Sucess|
False , |Real Sucess|
56 , |Parent of Generation|
21.681555603641552 , |Acc Euclidean Generation|
12 , Generation
349 , |Individual Number|
7 , |Number of points|
-0.6615719029800597 , -0.046924841293377095 , 1.2147387694661183 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
-0.32767232014215164 , -0.5856913462390156 , 0.4403493471918745 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
0.2804694705103231 , 0.5451951033806863 , 1.52387683686401 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
-0.63525523637963 , -0.16513379731163513 , 0.55750190890779 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
12 , Generation
349 , |Individual Number|
7 , |Number of points|
-0.6615719029800597 , -0.046924841293377095 , 1.2147387694661183 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
-0.32767232014215164 , -0.5856913462390156 , 0.4403493471918745 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
0.2804694705103231 , 0.5451951033806863 , 1.52387683686401 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
-0.63525523637963 , -0.16513379731163513 , 0.55750190890779 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
12 , Generation
349 , |Individual Number|
7 , |Number of points|
-0.6615719029800597 , -0.046924841293377095 , 1.2147387694661183 , |[0.10211147270665465, 0.10211147270665465, 0.10211147270665465, 0.10211147270665465]|
