1
12
6
0.6857200115729339 -0.1524519216433684 0.3991313215344111 0.6504689894623293 -0.3860966528780121 0.6483529051182776
0.7848861395719217 0.019783106134892536 0.6360766426195513 -0.6418582681344207 0.050110438953106184 0.05820445274924013
0.5933891900590323 0.7166424613325904 0.9426317448295742 0.44579473969522243 1.4416723795086457 0.2026326272208333
0.6739691816797633 0.6735712798893884 0.531290512104394 0.12243996615709755 0.7197076055664214 0.9710432550937432
615.2986984946159
True
