True , |Sim Sucess|
-1.0569687295219594 , -0.7161186652277665 , 1.6597083092129397 , 0.10873543421441167
True , |Sim Sucess|
False , |Real Sucess|
15 , |Parent of Generation|
20.272919283957545 , |Acc Euclidean Generation|
6 , Generation
154 , |Individual Number|
10 , |Number of points|
0.05605647921363999 , 0.131437555047085 , 1.3360725968962022 , 0.10873543421441167
-1.0569687295219594 , -0.7161186652277665 , 1.6597083092129397 , 0.10873543421441167
True , |Sim Sucess|
False , |Real Sucess|
16 , |Parent of Generation|
21.930911158002605 , |Acc Euclidean Generation|
6 , Generation
154 , |Individual Number|
10 , |Number of points|
0.05605647921363999 , 0.131437555047085 , 1.3360725968962022 , 0.10873543421441167
-1.0569687295219594 , -0.7161186652277665 , 1.6597083092129397 , 0.10873543421441167
True , |Sim Sucess|
False , |Real Sucess|
17 , |Parent of Generation|
23.588903032047664 , |Acc Euclidean Generation|
6 , Generation
154 , |Individual Number|
10 , |Number of points|
0.05605647921363999 , 0.131437555047085 , 1.3360725968962022 , 0.10873543421441167
-1.0569687295219594 , -0.7161186652277665 , 1.6597083092129397 , 0.10873543421441167
True , |Sim Sucess|
False , |Real Sucess|
18 , |Parent of Generation|
25.246894906092724 , |Acc Euclidean Generation|
6 , Generation
154 , |Individual Number|
10 , |Number of points|
0.05605647921363999 , 0.131437555047085 , 1.3360725968962022 , 0.10873543421441167
-1.0569687295219594 , -0.7161186652277665 , 1.6597083092129397 , 0.10873543421441167
True , |Sim Sucess|
False , |Real Sucess|
19 , |Parent of Generation|
26.904886780137783 , |Acc Euclidean Generation|
6 , Generation
154 , |Individual Number|
10 , |Number of points|
0.05605647921363999 , 0.131437555047085 , 1.3360725968962022 , 0.10873543421441167
-1.0569687295219594 , -0.7161186652277665 , 1.6597083092129397 , 0.10873543421441167
True , |Sim Sucess|
False , |Real Sucess|
20 , |Parent of Generation|
28.562878654182843 , |Acc Euclidean Generation|
6 , Generation
154 , |Individual Number|
10 , |Number of points|
0.05605647921363999 , 0.131437555047085 , 1.3360725968962022 , 0.10873543421441167
-1.0569687295219594 , -0.7161186652277665 , 1.6597083092129397 , 0.10873543421441167
