56, Generation,,,,,,,,
943, |Individual Number|,,,,,,,,
7, |Number of points|,,,,,,,,
-0.27425601054509,-0.022284405797544,0.168088642717775,0.025433790194465,0.025433790194465,0.025433790194465,0.025433790194465,0.025433790194465,0.019703752613783, 0.019703752613783]|
-0.010056607008347,-0.226714173721128,1.24350916566408,0.025433790194465,0.025433790194465,0.025433790194465,0.025433790194465,0.025433790194465,0.019703752613783, 0.019703752613783]|
-0.093378199895447,0.477418668893009,0.579933416541727,0.025433790194465,0.025433790194465,0.025433790194465,0.025433790194465,0.025433790194465,0.019703752613783, 0.019703752613783]|
0.157320096920162,0.287648173431042,1.34632146560355,0.025433790194465,0.025433790194465,0.025433790194465,0.025433790194465,0.025433790194465,0.019703752613783, 0.019703752613783]|
0.155546612300666,0.115539450444386,0.206767131140252,0.025433790194465,0.025433790194465,0.025433790194465,0.025433790194465,0.025433790194465,0.019703752613783, 0.019703752613783]|
-0.087200724189621,0.485370248915866,0.402630215016402,0.025433790194465,0.025433790194465,0.025433790194465,0.025433790194465,0.025433790194465,0.019703752613783, 0.019703752613783]|
-0.578532295312484,0.664683254106574,0.966341741886624,0.025433790194465,0.025433790194465,0.025433790194465,0.025433790194465,0.025433790194465,0.019703752613783, 0.019703752613783]|
3535.71920828001, Euclidean,,,,,,,,
True , |Sim Sucess|,,,,,,,,
True , |Real Sucess|,,,,,,,,
True , |Sim Sucess|,,,,,,,,
True , |Real Sucess|,,,,,,,,
57, |Parent of Generation|,,,,,,,,
3.73589519032996, |Acc Euclidean Generation|,,,,,,,,
56, Generation,,,,,,,,
943, |Individual Number|,,,,,,,,
7, |Number of points|,,,,,,,,
-0.27425601054509,-0.022284405797544,0.168088642717775, |[0.025433790194464505,0.025433790194465,0.025433790194465,0.025433790194465,0.025433790194465,0.019703752613783, 0.019703752613783]|
-0.010056607008347,-0.226714173721128,1.24350916566408, |[0.025433790194464505,0.025433790194465,0.025433790194465,0.025433790194465,0.025433790194465,0.019703752613783, 0.019703752613783]|
-0.093378199895447,0.477418668893009,0.579933416541727, |[0.025433790194464505,0.025433790194465,0.025433790194465,0.025433790194465,0.025433790194465,0.019703752613783, 0.019703752613783]|
0.032585687863445,0.31403227075793,1.31198946984101, |[0.025433790194464505,0.025433790194465,0.025433790194465,0.025433790194465,0.025433790194465,0.019703752613783, 0.019703752613783]|
0.155546612300666,0.115539450444386,0.206767131140252, |[0.025433790194464505,0.025433790194465,0.025433790194465,0.025433790194465,0.025433790194465,0.019703752613783, 0.019703752613783]|
-0.087200724189621,0.485370248915866,0.402630215016402, |[0.025433790194464505,0.025433790194465,0.025433790194465,0.025433790194465,0.025433790194465,0.019703752613783, 0.019703752613783]|
-0.578532295312484,0.664683254106574,0.966341741886624, |[0.025433790194464505,0.025433790194465,0.025433790194465,0.025433790194465,0.025433790194465,0.019703752613783, 0.019703752613783]|
3535.71920828001, Euclidean,,,,,,,,
True , |Sim Sucess|,,,,,,,,
True , |Real Sucess|,,,,,,,,
True , |Sim Sucess|,,,,,,,,
True , |Real Sucess|,,,,,,,,
58, |Parent of Generation|,,,,,,,,
7.48093635776077, |Acc Euclidean Generation|,,,,,,,,
56, Generation,,,,,,,,
943, |Individual Number|,,,,,,,,
7, |Number of points|,,,,,,,,
-0.27425601054509,-0.022284405797544,0.168088642717775, |[0.025433790194464505,0.025433790194465,0.025433790194465,0.025433790194465,0.025433790194465,0.019703752613783, 0.019703752613783]|
-0.010056607008347,-0.226714173721128,1.24350916566408, |[0.025433790194464505,0.025433790194465,0.025433790194465,0.025433790194465,0.025433790194465,0.019703752613783, 0.019703752613783]|
-0.093378199895447,0.477418668893009,0.579933416541727, |[0.025433790194464505,0.025433790194465,0.025433790194465,0.025433790194465,0.025433790194465,0.019703752613783, 0.019703752613783]|
0.032585687863445,0.31403227075793,1.31198946984101, |[0.025433790194464505,0.025433790194465,0.025433790194465,0.025433790194465,0.025433790194465,0.019703752613783, 0.019703752613783]|
0.155546612300666,0.115539450444386,0.206767131140252, |[0.025433790194464505,0.025433790194465,0.025433790194465,0.025433790194465,0.025433790194465,0.019703752613783, 0.019703752613783]|
-0.087200724189621,0.485370248915866,0.402630215016402, |[0.025433790194464505,0.025433790194465,0.025433790194465,0.025433790194465,0.025433790194465,0.019703752613783, 0.019703752613783]|
-0.578532295312484,0.664683254106574,0.966341741886624, |[0.025433790194464505,0.025433790194465,0.025433790194465,0.025433790194465,0.025433790194465,0.019703752613783, 0.019703752613783]|
3535.71920828001, Euclidean,,,,,,,,
True , |Sim Sucess|,,,,,,,,
True , |Real Sucess|,,,,,,,,
True , |Sim Sucess|,,,,,,,,
True , |Real Sucess|,,,,,,,,
59, |Parent of Generation|,,,,,,,,
11.2259775251916, |Acc Euclidean Generation|,,,,,,,,
56, Generation,,,,,,,,
943, |Individual Number|,,,,,,,,
7, |Number of points|,,,,,,,,
-0.27425601054509,-0.022284405797544,0.168088642717775, |[0.025433790194464505,0.025433790194465,0.025433790194465,0.025433790194465,0.025433790194465,0.019703752613783, 0.019703752613783]|
-0.010056607008347,-0.226714173721128,1.24350916566408, |[0.025433790194464505,0.025433790194465,0.025433790194465,0.025433790194465,0.025433790194465,0.019703752613783, 0.019703752613783]|
-0.093378199895447,0.477418668893009,0.579933416541727, |[0.025433790194464505,0.025433790194465,0.025433790194465,0.025433790194465,0.025433790194465,0.019703752613783, 0.019703752613783]|
