56, Generation,,,,,,,,,,,
951, |Individual Number|,,,,,,,,,,,
10, |Number of points|,,,,,,,,,,,
-0.2532137181964,-0.440536145100159,1.02425141450485,0.198265960533861,0.198265960533861,0.392478605954593,0.392478605954593,0.198265960533861,0.343648418288241,0.343648418288241,0.198265960533861,0.198265960533861, 0.311623584735505]|
-0.501500590937331,0.674140357208167,0.216776578955795,0.198265960533861,0.198265960533861,0.392478605954593,0.392478605954593,0.198265960533861,0.343648418288241,0.343648418288241,0.198265960533861,0.198265960533861, 0.311623584735505]|
0.559154284502066,0.056220548174152,1.15147673759689,0.198265960533861,0.198265960533861,0.392478605954593,0.392478605954593,0.198265960533861,0.343648418288241,0.343648418288241,0.198265960533861,0.198265960533861, 0.311623584735505]|
-0.739738109320633,-0.03339601853159,0.222436683962492,0.198265960533861,0.198265960533861,0.392478605954593,0.392478605954593,0.198265960533861,0.343648418288241,0.343648418288241,0.198265960533861,0.198265960533861, 0.311623584735505]|
0.349810980831442,-0.029389591835167,0.219032719628544,0.198265960533861,0.198265960533861,0.392478605954593,0.392478605954593,0.198265960533861,0.343648418288241,0.343648418288241,0.198265960533861,0.198265960533861, 0.311623584735505]|
-0.07106265999651,-0.575632354852016,1.73195997856298,0.198265960533861,0.198265960533861,0.392478605954593,0.392478605954593,0.198265960533861,0.343648418288241,0.343648418288241,0.198265960533861,0.198265960533861, 0.311623584735505]|
-0.731841007877764,-0.553591863966004,1.32072581060223,0.198265960533861,0.198265960533861,0.392478605954593,0.392478605954593,0.198265960533861,0.343648418288241,0.343648418288241,0.198265960533861,0.198265960533861, 0.311623584735505]|
0.461897010024806,-0.025293361804849,0.420702390761099,0.198265960533861,0.198265960533861,0.392478605954593,0.392478605954593,0.198265960533861,0.343648418288241,0.343648418288241,0.198265960533861,0.198265960533861, 0.311623584735505]|
-0.223109975922777,0.01136667432061,0.695362002466689,0.198265960533861,0.198265960533861,0.392478605954593,0.392478605954593,0.198265960533861,0.343648418288241,0.343648418288241,0.198265960533861,0.198265960533861, 0.311623584735505]|
-0.480938518747527,0.720577931872674,1.67848543317326,0.198265960533861,0.198265960533861,0.392478605954593,0.392478605954593,0.198265960533861,0.343648418288241,0.343648418288241,0.198265960533861,0.198265960533861, 0.311623584735505]|
616.437178937922, Euclidean,,,,,,,,,,,
True , |Sim Sucess|,,,,,,,,,,,
True , |Real Sucess|,,,,,,,,,,,
True , |Sim Sucess|,,,,,,,,,,,
True , |Real Sucess|,,,,,,,,,,,
57, |Parent of Generation|,,,,,,,,,,,
7.11069280750213, |Acc Euclidean Generation|,,,,,,,,,,,
56, Generation,,,,,,,,,,,
951, |Individual Number|,,,,,,,,,,,
10, |Number of points|,,,,,,,,,,,
-0.2532137181964,-0.440536145100159,1.02425141450485, |[0.198265960533861,0.198265960533861,0.392478605954593,0.392478605954593,0.198265960533861,0.343648418288241,0.343648418288241,0.198265960533861,0.198265960533861, 0.311623584735505]|
-0.501500590937331,0.674140357208167,0.216776578955795, |[0.198265960533861,0.198265960533861,0.392478605954593,0.392478605954593,0.198265960533861,0.343648418288241,0.343648418288241,0.198265960533861,0.198265960533861, 0.311623584735505]|
0.559154284502066,0.056220548174152,1.15147673759689, |[0.198265960533861,0.198265960533861,0.392478605954593,0.392478605954593,0.198265960533861,0.343648418288241,0.343648418288241,0.198265960533861,0.198265960533861, 0.311623584735505]|
-0.739738109320633,-0.03339601853159,0.222436683962492, |[0.198265960533861,0.198265960533861,0.392478605954593,0.392478605954593,0.198265960533861,0.343648418288241,0.343648418288241,0.198265960533861,0.198265960533861, 0.311623584735505]|
0.349810980831442,-0.029389591835167,0.219032719628544, |[0.198265960533861,0.198265960533861,0.392478605954593,0.392478605954593,0.198265960533861,0.343648418288241,0.343648418288241,0.198265960533861,0.198265960533861, 0.311623584735505]|
-0.07106265999651,-0.575632354852016,1.73195997856298, |[0.198265960533861,0.198265960533861,0.392478605954593,0.392478605954593,0.198265960533861,0.343648418288241,0.343648418288241,0.198265960533861,0.198265960533861, 0.311623584735505]|
-0.731841007877764,-0.553591863966004,1.32072581060223, |[0.198265960533861,0.198265960533861,0.392478605954593,0.392478605954593,0.198265960533861,0.343648418288241,0.343648418288241,0.198265960533861,0.198265960533861, 0.311623584735505]|
0.461897010024806,-0.025293361804849,0.420702390761099, |[0.198265960533861,0.198265960533861,0.392478605954593,0.392478605954593,0.198265960533861,0.343648418288241,0.343648418288241,0.198265960533861,0.198265960533861, 0.311623584735505]|
-0.223109975922777,0.01136667432061,0.695362002466689, |[0.198265960533861,0.198265960533861,0.392478605954593,0.392478605954593,0.198265960533861,0.343648418288241,0.343648418288241,0.198265960533861,0.198265960533861, 0.311623584735505]|
-0.480938518747527,0.720577931872674,1.67848543317326, |[0.198265960533861,0.198265960533861,0.392478605954593,0.392478605954593,0.198265960533861,0.343648418288241,0.343648418288241,0.198265960533861,0.198265960533861, 0.311623584735505]|
616.437178937922, Euclidean,,,,,,,,,,,
True , |Sim Sucess|,,,,,,,,,,,
True , |Real Sucess|,,,,,,,,,,,
True , |Sim Sucess|,,,,,,,,,,,
True , |Real Sucess|,,,,,,,,,,,
58, |Parent of Generation|,,,,,,,,,,,
14.2213856150043, |Acc Euclidean Generation|,,,,,,,,,,,
56, Generation,,,,,,,,,,,
951, |Individual Number|,,,,,,,,,,,
10, |Number of points|,,,,,,,,,,,
