56, Generation,,,,
940, |Individual Number|,,,,
3, |Number of points|,,,,
0.246799201204451,-0.249841784117617,1.42706263740365,0.019703752613783,0.019703752613783, 0.019703752613783]|
0.544905071517797,0.712363296251172,0.641126966626055,0.019703752613783,0.019703752613783, 0.019703752613783]|
0.071056525676963,0.701894382738936,0.907716820412641,0.019703752613783,0.019703752613783, 0.019703752613783]|
643.604694676872, Euclidean,,,,
True , |Sim Sucess|,,,,
True , |Real Sucess|,,,,
True , |Sim Sucess|,,,,
True , |Real Sucess|,,,,
57, |Parent of Generation|,,,,
2.5715155464281, |Acc Euclidean Generation|,,,,
56, Generation,,,,
940, |Individual Number|,,,,
3, |Number of points|,,,,
0.246799201204451,-0.249841784117617,1.42706263740365, |[0.311623584735505,0.019703752613783, 0.019703752613783]|
0.679076452019741,0.474051927509203,1.00499461720736, |[0.311623584735505,0.019703752613783, 0.019703752613783]|
0.081917480877444,0.748413053043117,0.818636240712714, |[0.311623584735505,0.019703752613783, 0.019703752613783]|
643.604694676872, Euclidean,,,,
True , |Sim Sucess|,,,,
True , |Real Sucess|,,,,
True , |Sim Sucess|,,,,
True , |Real Sucess|,,,,
58, |Parent of Generation|,,,,
5.0183371119853, |Acc Euclidean Generation|,,,,
56, Generation,,,,
940, |Individual Number|,,,,
3, |Number of points|,,,,
0.246799201204451,-0.249841784117617,1.42706263740365, |[0.311623584735505,0.019703752613783, 0.019703752613783]|
0.513525332818183,0.240019291616421,0.870806062029022, |[0.311623584735505,0.019703752613783, 0.019703752613783]|
0.182314999329626,0.706187433594282,0.881838066242774, |[0.311623584735505,0.019703752613783, 0.019703752613783]|
643.604694676872, Euclidean,,,,
True , |Sim Sucess|,,,,
True , |Real Sucess|,,,,
True , |Sim Sucess|,,,,
True , |Real Sucess|,,,,
59, |Parent of Generation|,,,,
7.08010107742037, |Acc Euclidean Generation|,,,,
56, Generation,,,,
940, |Individual Number|,,,,
3, |Number of points|,,,,
0.237516045828685,-0.307335382836737,1.36762216069778, |[0.311623584735505,0.019703752613783, 0.019703752613783]|
0.392835030321928,0.246813594699138,0.895815734737253, |[0.311623584735505,0.019703752613783, 0.019703752613783]|
0.316700861840933,0.8208203892063,0.983597437909375, |[0.311623584735505,0.019703752613783, 0.019703752613783]|
643.604694676872, Euclidean,,,,
True , |Sim Sucess|,,,,
True , |Real Sucess|,,,,
True , |Sim Sucess|,,,,
True , |Real Sucess|,,,,
60, |Parent of Generation|,,,,
9.3041479626955, |Acc Euclidean Generation|,,,,
56, Generation,,,,
940, |Individual Number|,,,,
3, |Number of points|,,,,
0.237516045828685,-0.307335382836737,1.36762216069778, |[0.311623584735505,0.019703752613783, 0.019703752613783]|
0.283855796184787,0.252334765166539,0.891342748912767, |[0.311623584735505,0.019703752613783, 0.019703752613783]|
0.273558854892375,0.868495658601955,1.23277322844409, |[0.311623584735505,0.019703752613783, 0.019703752613783]|
643.604694676872, Euclidean,,,,
True , |Sim Sucess|,,,,
True , |Real Sucess|,,,,
True , |Sim Sucess|,,,,
True , |Real Sucess|,,,,
61, |Parent of Generation|,,,,
11.5137658178735, |Acc Euclidean Generation|,,,,
56, Generation,,,,
940, |Individual Number|,,,,
3, |Number of points|,,,,
0.067047172783216,-0.46567166505686,1.43716313283447, |[0.311623584735505,0.019703752613783, 0.019703752613783]|
0.084121887370433,0.242157482752302,1.05783056887689, |[0.311623584735505,0.019703752613783, 0.019703752613783]|
0.273558854892375,0.868495658601955,1.23277322844409, |[0.311623584735505,0.019703752613783, 0.019703752613783]|
