56, Generation,,,,,
947, |Individual Number|,,,,,
4, |Number of points|,,,,,
0.330601812375284,0.286117867370482,1.75739608928829,0.208522040098024,0.208522040098024,0.40437779919815, 0.40437779919815]|
-0.189204149951174,0.000625930504286,1.59779599088969,0.208522040098024,0.208522040098024,0.40437779919815, 0.40437779919815]|
0.50701331664977,0.150625060517773,1.6608903031445,0.208522040098024,0.208522040098024,0.40437779919815, 0.40437779919815]|
0.262164131114591,0.047359595223336,1.03905459195218,0.208522040098024,0.208522040098024,0.40437779919815, 0.40437779919815]|
687.988189943877, Euclidean,,,,,
True , |Sim Sucess|,,,,,
True , |Real Sucess|,,,,,
True , |Sim Sucess|,,,,,
True , |Real Sucess|,,,,,
57, |Parent of Generation|,,,,,
1.53225189618903, |Acc Euclidean Generation|,,,,,
56, Generation,,,,,
947, |Individual Number|,,,,,
4, |Number of points|,,,,,
0.473157363353533,0.348330460871769,1.7981554290264, |[0.20852204009802436,0.208522040098024,0.40437779919815, 0.40437779919815]|
-0.137914448776122,-0.161490747821173,1.69605893741701, |[0.20852204009802436,0.208522040098024,0.40437779919815, 0.40437779919815]|
0.579953174479527,0.214370910341595,1.69325514101351, |[0.20852204009802436,0.208522040098024,0.40437779919815, 0.40437779919815]|
0.262164131114591,0.047359595223336,1.03905459195218, |[0.20852204009802436,0.208522040098024,0.40437779919815, 0.40437779919815]|
687.988189943877, Euclidean,,,,,
True , |Sim Sucess|,,,,,
True , |Real Sucess|,,,,,
True , |Sim Sucess|,,,,,
True , |Real Sucess|,,,,,
58, |Parent of Generation|,,,,,
3.40708413584342, |Acc Euclidean Generation|,,,,,
56, Generation,,,,,
947, |Individual Number|,,,,,
4, |Number of points|,,,,,
0.473157363353533,0.348330460871769,1.7981554290264, |[0.20852204009802436,0.208522040098024,0.40437779919815, 0.40437779919815]|
-0.137914448776122,-0.161490747821173,1.69605893741701, |[0.20852204009802436,0.208522040098024,0.40437779919815, 0.40437779919815]|
0.579953174479527,0.214370910341595,1.69325514101351, |[0.20852204009802436,0.208522040098024,0.40437779919815, 0.40437779919815]|
0.262164131114591,0.047359595223336,1.03905459195218, |[0.20852204009802436,0.208522040098024,0.40437779919815, 0.40437779919815]|
687.988189943877, Euclidean,,,,,
True , |Sim Sucess|,,,,,
True , |Real Sucess|,,,,,
True , |Sim Sucess|,,,,,
True , |Real Sucess|,,,,,
59, |Parent of Generation|,,,,,
5.28191637549781, |Acc Euclidean Generation|,,,,,
56, Generation,,,,,
947, |Individual Number|,,,,,
4, |Number of points|,,,,,
0.473157363353533,0.348330460871769,1.7981554290264, |[0.20852204009802436,0.208522040098024,0.40437779919815, 0.40437779919815]|
-0.338923154477622,-0.148272406704625,1.90415004922166, |[0.20852204009802436,0.208522040098024,0.40437779919815, 0.40437779919815]|
0.579953174479527,0.214370910341595,1.69325514101351, |[0.20852204009802436,0.208522040098024,0.40437779919815, 0.40437779919815]|
-0.011266188886974,0.119860440816835,1.05947296622355, |[0.20852204009802436,0.208522040098024,0.40437779919815, 0.40437779919815]|
687.988189943877, Euclidean,,,,,
True , |Sim Sucess|,,,,,
True , |Real Sucess|,,,,,
True , |Sim Sucess|,,,,,
True , |Real Sucess|,,,,,
60, |Parent of Generation|,,,,,
7.18779798125891, |Acc Euclidean Generation|,,,,,
56, Generation,,,,,
947, |Individual Number|,,,,,
4, |Number of points|,,,,,
0.473157363353533,0.348330460871769,1.7981554290264, |[0.20852204009802436,0.208522040098024,0.40437779919815, 0.40437779919815]|
-0.338923154477622,-0.148272406704625,1.90415004922166, |[0.20852204009802436,0.208522040098024,0.40437779919815, 0.40437779919815]|
0.579953174479527,0.214370910341595,1.69325514101351, |[0.20852204009802436,0.208522040098024,0.40437779919815, 0.40437779919815]|
-0.011266188886974,0.119860440816835,1.05947296622355, |[0.20852204009802436,0.208522040098024,0.40437779919815, 0.40437779919815]|
687.988189943877, Euclidean,,,,,
True , |Sim Sucess|,,,,,
True , |Real Sucess|,,,,,
True , |Sim Sucess|,,,,,
True , |Real Sucess|,,,,,
61, |Parent of Generation|,,,,,
9.09367958702002, |Acc Euclidean Generation|,,,,,
56, Generation,,,,,
947, |Individual Number|,,,,,
4, |Number of points|,,,,,
0.677848692192518,0.401147479661965,1.88573280918718, |[0.20852204009802436,0.208522040098024,0.40437779919815, 0.40437779919815]|
-0.338923154477622,-0.148272406704625,1.90415004922166, |[0.20852204009802436,0.208522040098024,0.40437779919815, 0.40437779919815]|
0.548968334244258,0.234169961287498,1.70629840544796, |[0.20852204009802436,0.208522040098024,0.40437779919815, 0.40437779919815]|
-0.1986756256154,0.271890189505501,0.948896129145155, |[0.20852204009802436,0.208522040098024,0.40437779919815, 0.40437779919815]|
