6 , Generation , 45 , Euclid , 500.5933640614916
2 , Generation , 11 , Euclid , 544.179731321923
5 , Generation , 37 , Euclid , 798.5404491139235
3 , Generation , 22 , Euclid , 794.1790211546266
4 , Generation , 27 , Euclid , 835.1678301910661
11 , Generation , 82 , Euclid , 0
11 , Generation , 83 , Euclid , 0
11 , Generation , 84 , Euclid , 99.68404089338445
11 , Generation , 85 , Euclid , 67.67690325936208
11 , Generation , 86 , Euclid , 54.60322123487422
11 , Generation , 87 , Euclid , 37.550070313642316
11 , Generation , 88 , Euclid , 59.48417755394125
11 , Generation , 89 , Euclid , 24.33679784408069
11 , Generation , 84 , Euclid , 199.36808178676867
10 , Generation , 78 , Euclid , 283.9289262626916
9 , Generation , 70 , Euclid , 282.3591970924894
1 , Generation , 2 , Euclid , 386.9602944149607
7 , Generation , 51 , Euclid , 550.6429719057553
8 , Generation , 58 , Euclid , 602.7426345333553
6 , Generation , 45 , Euclid , 584.0255914050738
2 , Generation , 11 , Euclid , 598.5977044541163
3 , Generation , 22 , Euclid , 882.4211346162527
5 , Generation , 37 , Euclid , 912.6176561301965
4 , Generation , 27 , Euclid , 939.5638089649495
12 , Generation , 90 , Euclid , 76.77138518242424
12 , Generation , 91 , Euclid , 0
12 , Generation , 92 , Euclid , 13.832760778440907
12 , Generation , 93 , Euclid , 90.74311588307258
12 , Generation , 94 , Euclid , 0
12 , Generation , 95 , Euclid , 0
12 , Generation , 96 , Euclid , 38.86601109444595
12 , Generation , 97 , Euclid , 0
12 , Generation , 93 , Euclid , 181.48623176614527
11 , Generation , 84 , Euclid , 299.0521226801536
9 , Generation , 70 , Euclid , 352.94899636561195
10 , Generation , 78 , Euclid , 378.57190168358903
1 , Generation , 2 , Euclid , 419.20698561620776
7 , Generation , 51 , Euclid , 642.4168005567137
6 , Generation , 45 , Euclid , 667.4578187486551
2 , Generation , 11 , Euclid , 653.0156775863096
8 , Generation , 58 , Euclid , 723.2911614400283
3 , Generation , 22 , Euclid , 970.6632480778788
