6 , Generation
4 , NumberPoints
|[0.014436810980581173, 0.22029092969670566, 0.48261291545581236, 0.3271078679242433]| , Vmax
|[-0.24107863119774825, -0.7553632564618306, -0.2724705761395525, 0.8087564866978014]| , Xpos
|[-0.20028877644196358, -0.4233992144321968, 0.7687426296423908, -0.1504579968537488]| , Ypos
|[1.4399701577569763, 1.4109131564831872, 0.6753605479696371, 1.0446131016845772]| , Zpos
|[0.014436810980581173, 0.22029092969670566, 0.48261291545581236, 0.3271078679242433]| , Vmax
6 , Generation
4 , NumberPoints
|[0.014436810980581173, 0.22029092969670566, 0.48261291545581236, 0.3271078679242433]| , Vmax
|[0.21584910970329402, -0.6665530588692964, -0.2763996525983034, 0.5873679918781407]| , Xpos
|[-0.1813245645188158, -0.0805594123060013, 0.6867583689040424, -0.2798225873334348]| , Ypos
|[1.8938276559021436, 1.565934304462667, 0.6880904307475305, 0.9814453565206896]| , Zpos
|[0.014436810980581173, 0.22029092969670566, 0.48261291545581236, 0.3271078679242433]| , Vmax
6 , Generation
4 , NumberPoints
|[0.014436810980581173, 0.22029092969670566, 0.48261291545581236, 0.3271078679242433]| , Vmax
|[-0.173262218164635, -0.5810304092119988, -0.6632146564308388, 0.9107431946154798]| , Xpos
|[-0.31398122271731826, -0.7107661753157806, 0.6553890023765928, -0.30362252352910957]| , Ypos
|[1.4107484719906243, 1.422652277366118, 0.5898501021389335, 1.0560525699692493]| , Zpos
|[0.014436810980581173, 0.22029092969670566, 0.48261291545581236, 0.3271078679242433]| , Vmax
6 , Generation
4 , NumberPoints
|[0.014436810980581173, 0.22029092969670566, 0.48261291545581236, 0.3271078679242433]| , Vmax
|[-0.173262218164635, -0.5810304092119988, -0.6632146564308388, 0.9107431946154798]| , Xpos
|[-0.31398122271731826, -0.7107661753157806, 0.6553890023765928, -0.30362252352910957]| , Ypos
|[1.4107484719906243, 1.422652277366118, 0.5898501021389335, 1.0560525699692493]| , Zpos
|[0.014436810980581173, 0.22029092969670566, 0.48261291545581236, 0.3271078679242433]| , Vmax
6 , Generation
4 , NumberPoints
|[0.014436810980581173, 0.22029092969670566, 0.48261291545581236, 0.3271078679242433]| , Vmax
|[-0.13754497482682926, -0.5754669322907466, -0.6632146564308388, 0.8695363644166363]| , Xpos
|[-0.2644283542957261, -0.7839391826156408, 0.6553890023765928, -0.3400016996943574]| , Ypos
|[1.682215463220633, 1.3052218979361994, 0.5898501021389335, 1.2748964871000275]| , Zpos
|[0.014436810980581173, 0.22029092969670566, 0.48261291545581236, 0.3271078679242433]| , Vmax
6 , Generation
4 , NumberPoints
|[0.014436810980581173, 0.22029092969670566, 0.48261291545581236, 0.3271078679242433]| , Vmax
|[-0.0415816087922794, -0.4774895288689807, -0.6503365009074541, 1.0074537395607803]| , Xpos
|[-0.2127170380837582, -0.6399490056988424, 0.9441520643384783, -0.251651524480882]| , Ypos
|[1.6647699000441905, 1.9770258959840012, 0.5932147295424374, 1.2439518145337507]| , Zpos
|[0.014436810980581173, 0.22029092969670566, 0.48261291545581236, 0.3271078679242433]| , Vmax
6 , Generation
4 , NumberPoints
|[0.014436810980581173, 0.22029092969670566, 0.48261291545581236, 0.3271078679242433]| , Vmax
|[-0.15827214840903409, -0.48986642599543173, -0.6503365009074541, 1.044439671799225]| , Xpos
|[-0.2051851208535282, -0.48651379877686396, 0.9441520643384783, -0.37864357990386815]| , Ypos
|[1.7415472361488513, 2.104595404812275, 0.5932147295424374, 1.2117564761252042]| , Zpos
|[0.014436810980581173, 0.22029092969670566, 0.48261291545581236, 0.3271078679242433]| , Vmax
6 , Generation
4 , NumberPoints
|[0.014436810980581173, 0.22029092969670566, 0.48261291545581236, 0.3271078679242433]| , Vmax
|[-0.14829593837713073, -0.6896006947778868, -0.8465375464528074, 0.9957219287749651]| , Xpos
|[-0.11604447548798713, -0.2374855526715508, 0.700728509888353, -0.2777617793075664]| , Ypos
|[1.7917285843589397, 2.2802444213029927, 0.6171122784730932, 1.0945704024612208]| , Zpos
|[0.014436810980581173, 0.22029092969670566, 0.48261291545581236, 0.3271078679242433]| , Vmax
