3 , Generation
2 , NumberPoints
20 , Individual
|[0.3700341280249188, 0.4951271628910017]| , Vmax
|[-0.6954375230144305, 0.5122335250442439]| , Xpos
|[-0.06815333046488244, -0.7430404262860426]| , Ypos
|[1.7181535806339432, 0.3247684400560441]| , Zpos
|[0.3700341280249188, 0.4951271628910017]| , Vmax
3 , Generation
2 , NumberPoints
25 , Individual
|[0.3700341280249188, 0.4951271628910017]| , Vmax
|[-0.3765491462790172, 0.5122335250442439]| , Xpos
|[0.3981188853364206, -0.7430404262860426]| , Ypos
|[1.6716746001271643, 0.3247684400560441]| , Zpos
|[0.3700341280249188, 0.4951271628910017]| , Vmax
3 , Generation
3 , NumberPoints
18 , Individual
|[0.43270152349628466, 0.3700341280249188, 0.4951271628910017]| , Vmax
|[0.257024556317216, 0.0716714603942517, 0.7835708195435809]| , Xpos
|[0.8178308812446838, -0.1335189427805211, 0.33181383484652904]| , Ypos
|[0.7360477931202155, 1.6981964079236742, 1.0503263489983756]| , Zpos
|[0.43270152349628466, 0.3700341280249188, 0.4951271628910017]| , Vmax
